18200,7,Recreational activity,,,,,Diving & snorkeling,Skindiving scuba diving general  ,Skindiving scuba diving general  ,Vigorous intensity
18210,5,Recreational activity,,,,,Diving & snorkeling,Snorkeling  ,Snorkeling  ,Vigorous intensity
15190,6,Sport,,,,,Drag racing pushing or driving a car ,General,General,Vigorous intensity
15200,6,Sport,,,,,Fencing ,General,General,Vigorous intensity
15350,8,Sport,,,,,Field hockey,General,General,Vigorous intensity
4010,4,Recreational activity,,,,,Fishing and hunting,Digging worms with shovel ,Digging worms with shovel ,Light Intensity
4030,2.5,Recreational activity,,,,,Fishing and hunting,Fishing from boat sitting ,Fishing from boat sitting ,Moderate intensity
4020,4,Recreational activity,,,,,Fishing and hunting,Fishing from river bank and walking ,Fishing from river bank and walking ,Moderate intensity
4040,3.5,Recreational activity,,,,,Fishing and hunting,Fishing from river bank standing,Fishing from river bank standing,Moderate intensity
4001,3,Recreational activity,,,,,Fishing and hunting,Fishing general ,Fishing general ,Moderate intensity
4050,6,Recreational activity,,,,,Fishing and hunting,Fishing in stream in waders,Fishing in stream in waders,Moderate intensity
4100,5,Recreational activity,,,,,Fishing and hunting,Hunting general ,Hunting general ,Vigorous intensity
15210,9,Sport,,,,,Football,competitive ,competitive ,Light Intensity
15235,2.5,Sport,,,,,Football,Playing catch,Playing catch,Vigorous intensity
15230,8,Sport,,,,,Football,"touch, flag, general","touch, flag, general",Vigorous intensity
15240,3,Sport,,,,,Frisbee,"Playing, general","Playing, general",Moderate intensity
15250,8,Sport,,,,,Frisbee,Ultimate,Ultimate,Vigorous intensity
15260,5.5,Sport,,,,,Golf,Carrying clubs ,Carrying clubs ,Moderate intensity
15255,4.5,Sport,,,,,Golf,General ,General ,Moderate intensity
15270,3,Sport,,,,,Golf,Miniature driving range ,Miniature driving range ,Moderate intensity
15280,5,Sport,,,,,Golf,Pulling clubs,Pulling clubs,Moderate intensity
15290,3.5,Sport,,,,,Golf,Using power cart,Using power cart,Moderate intensity
15265,4.5,Sport,,,,,Golf,Walking and carrying clubs ,Walking and carrying clubs ,Moderate intensity
15285,4.3,Sport,,,,,Golf,Walking and pulling clubs,Walking and pulling clubs,Moderate intensity
3015,6.5,Physical activity,P,P,,,Group fitness & aerobics,General,General,Moderate intensity
3021,7,Physical activity,P,P,,,Group fitness & aerobics,High impact ,High impact ,Vigorous intensity
3020,5,Physical activity,P,P,,,Group fitness & aerobics,Low impact ,Low impact ,Vigorous intensity
2110,6,Physical activity,P,,,,Group fitness & aerobics,Teaching aerobic class,Teaching aerobic class,Vigorous intensity
3017,10,Physical activity,P,P,,,Group fitness & aerobics,With 10 – 12 inch step ,With 10 – 12 inch step ,Vigorous intensity
